aX,aY,aZ,gX,gY,gZ
-0.278,-0.773,1.740,32.410,39.368,62.012
-0.307,-0.763,1.564,35.217,48.584,71.533
-0.333,-0.776,1.280,39.551,57.251,80.200
-0.349,-0.839,1.126,46.875,58.777,87.585
-0.352,-0.892,1.030,51.636,57.068,96.252
-0.367,-0.844,0.904,52.612,55.054,106.201
-0.355,-0.668,0.716,54.199,52.612,115.662
-0.332,-0.478,0.534,60.730,48.279,121.765
-0.274,-0.383,0.419,68.420,41.138,123.901
-0.250,-0.365,0.362,70.068,32.776,124.268
-0.199,-0.339,0.222,65.796,25.574,125.305
-0.177,-0.276,0.049,58.533,17.822,127.380
-0.154,-0.159,-0.103,46.814,7.629,129.944
-0.115,-0.069,-0.273,29.480,-3.418,131.348
-0.106,-0.023,-0.446,7.751,-15.869,132.080
-0.077,0.008,-0.619,-12.268,-30.823,132.263
-0.054,0.020,-0.774,-27.222,-47.180,131.653
-0.040,0.000,-0.882,-37.109,-66.467,131.042
-0.042,-0.067,-0.872,-41.016,-88.379,130.798
-0.049,-0.089,-0.663,-38.757,-111.877,131.531
-0.003,0.005,-0.313,-29.968,-133.484,132.874
0.089,0.171,0.133,-16.663,-150.513,132.629
0.204,0.308,0.621,-2.625,-161.804,128.784
0.319,0.353,1.133,5.493,-166.687,122.253
0.374,0.319,1.560,2.563,-164.917,115.173
0.421,0.346,1.868,-9.888,-157.715,109.863
0.443,0.481,2.047,-25.757,-147.766,105.652
0.458,0.670,2.171,-41.321,-137.573,99.548
0.467,0.799,2.350,-52.368,-128.967,89.783
0.480,0.807,2.597,-51.270,-120.789,76.172
0.506,0.647,2.927,-44.434,-111.084,60.974
0.553,0.467,3.276,-41.138,-98.633,48.828
0.600,0.350,3.532,-39.795,-81.360,41.748
0.583,0.243,3.652,-40.710,-60.364,37.476
0.547,0.166,3.720,-46.936,-38.574,35.706
0.483,0.179,3.766,-50.354,-16.968,35.828
0.390,0.140,3.821,-42.542,4.456,35.400
0.287,0.086,3.962,-28.748,25.940,35.034
0.214,0.120,4.000,-5.859,50.232,36.377
0.112,0.265,4.000,22.827,76.782,38.269
0.010,0.443,4.000,49.805,105.042,39.612
-0.133,0.634,4.000,71.106,135.742,40.039
-0.344,0.832,4.000,81.970,167.786,39.307
-0.529,0.942,3.958,82.153,197.571,35.950
